string	citation	standard_citation	citation_id
@doi:10.1038/nbt.3711	doi:10.1038/nbt.3711	doi:10.1038/nbt.3711	KFw2YbUB
@doi:10.4156/jcit.vol5.issue3.7	doi:10.4156/jcit.vol5.issue3.7	doi:10.4156/jcit.vol5.issue3.7	p1XD3Q9
